,,,,,,,,,,,,,,,,,,,,,
Iterations per tickets _6/20/17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ticket Number,Assigned To (CSR),Client/Account Name,Severity,Service Offering,Additional Info 1,Additional Info 2,Category,Status,Last Status Modified Date,Date Created-Format,Date Last Modified-Format,Response Date-Format,Date Closed-Format,PER Phase Date-Format,Parent Ticket Number,Child Ticket Number,PER Phase,Production Implementation Tracking,Summary,Time Spent (min),Age(Days)
5377-13433011,User21,Customer27,Sev 4,B2B Services (Hosted Translations),"TP0/CM0/NM0/MC0/AD1
Partner Name - Felss/Rotaform
Document Type DESADV
(Envelopes already exists)",JUN/1/2017,S - PER - parent request,Needs Reply,2017-06-19-16.37.40,2017-05-30-10.01.50,2017-06-19-16.37.40,2017-05-31-10.27.34,,2017-06-01-00.00.00,,5377-13439151,Production Validation,JUN/R,New PER Form = Rotaform/Felss - Inbound Desadv,286,21
5377-13433840,User31,Customer34,Sev 3,B2B Services Integration Plus (Managed Services),,,S - Info/Question/How To,Waiting - Client,2017-06-19-17.23.35,2017-05-30-14.40.59,2017-06-19-17.23.35,2017-05-31-08.13.45,,,,5377-13462662,,,Web Forms Injection Technology Envelopes,221,21
5377-13433851,User4,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.41.45,2017-05-30-14.43.55,2017-06-19-02.41.45,2017-05-31-07.08.21,,2017-06-01-00.00.00,,5377-13434893,Production Validation,JUN/E,Fw: PER for 141006-Robert Bosch Mexico Sistemas Automotrices S.A. de C.V.,331,21
5377-13433851,User4,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.41.45,2017-05-30-14.43.55,2017-06-19-02.41.45,2017-05-31-07.08.21,,2017-06-01-00.00.00,,5377-13439464,Production Validation,JUN/E,Fw: PER for 141006-Robert Bosch Mexico Sistemas Automotrices S.A. de C.V.,331,21
5377-13434388,User9,Customer122,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Release - Monthly,2017-06-19-16.27.46,2017-05-30-19.49.03,2017-06-19-16.27.46,2017-05-31-08.07.03,2017-06-19-15.32.38,2017-06-01-00.00.00,,,Technical Review,,PER for Golden State Foods EDI 850,14,20
5377-13434696,User13,Customer33,Sev 4,B2B Services Integration Plus (Managed Services),MAY/NM1(1) JUN/C1(1.5)A1(.25),,S - PER - New Map,Assigned,2017-06-19-12.59.01,2017-05-31-00.46.47,2017-06-19-12.59.01,2017-05-31-05.48.58,,2017-05-30-00.00.00,5377-13252905,,Technical Review,,set up new EDI trading partner ISG - WTSDE_ISG_O_INVOIC_D96B,379,20
5377-13434986,User12,Customer13,Sev 2,B2B Services Integration Plus (Managed Services),JUN/NX2(1)M1(1)C4(8),JUN/Y1Q1,S - PER - New Map,Needs Reply,2017-06-19-10.37.56,2017-05-31-03.51.45,2017-06-19-10.37.56,2017-06-01-07.08.35,,,5377-13398945,,,,CEVA PER LNA-2017-02029 Sportmaster PO map - Sportmaster-&gt;IBM(AS2)-&gt;GTN - New Map :CEVA_GTN_SPORTMASTER_PO_XML,1151,20
5377-13435258,User8,Customer14,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Waiting - Partner,2017-06-19-12.08.32,2017-05-31-06.42.27,2017-06-19-12.08.32,2017-05-31-06.47.42,,2017-05-31-00.00.00,5377-13432926,,CTE Valiation/Testing,,Child Ticket for Communication - PER -- EU - CR7071 - Implement EDI between the Supplier VARVIT USA andMeritor.,275,20
5377-13436691,User2,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Needs Reply,2017-06-19-14.03.19,2017-05-31-10.46.00,2017-06-19-14.03.19,2017-05-31-10.51.46,,2017-05-31-00.00.00,,,Technical Review,,Blue Diamond Growers via Penske 204/990/214/824 PER,150,20
5377-13437125,User16,Customer38,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Reopened,2017-06-19-16.38.59,2017-05-31-12.37.03,2017-06-19-16.38.59,2017-05-31-12.40.44,2017-06-16-07.52.53,2017-06-06-00.00.00,,5377-13446889,Production Complete,JUN/C  RC/JUN-S,New PO PER for Quartzy,68,16
5377-13437216,User52,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-08.44.53,2017-05-31-13.06.13,2017-06-19-08.44.53,2017-05-31-13.12.44,2017-06-19-08.44.53,2017-06-16-00.00.00,,5377-13438915,Production Validation,JUN/E,Fw: PER - Tesla Supplier - Yakima Products Inc,352,19
5377-13437216,User52,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-08.44.53,2017-05-31-13.06.13,2017-06-19-08.44.53,2017-05-31-13.12.44,2017-06-19-08.44.53,2017-06-16-00.00.00,,5377-13473568,Production Validation,JUN/E,Fw: PER - Tesla Supplier - Yakima Products Inc,352,19
5377-13437223,User65,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.17.44,2017-05-31-13.08.09,2017-06-19-10.17.44,2017-05-31-13.17.42,,2017-06-19-00.00.00,,5377-13438944,Production Technical Implementation,,Fw: PER - Tesla Supplier - Ningbo Xusheng Auto Technology CO. LTD,1422,20
5377-13437223,User65,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.17.44,2017-05-31-13.08.09,2017-06-19-10.17.44,2017-05-31-13.17.42,,2017-06-19-00.00.00,,5377-13447434,Production Technical Implementation,,Fw: PER - Tesla Supplier - Ningbo Xusheng Auto Technology CO. LTD,1422,20
5377-13437304,User3,Customer12,Sev 4,B2B Services Integration Plus (Managed Services),JUN/NC1(2),,S - PER - New Map,Waiting - Client,2017-06-19-08.58.37,2017-05-31-13.37.51,2017-06-19-08.58.37,2017-06-06-09.47.26,,2017-05-31-00.00.00,5377-13434174,,CTE Valiation/Testing,,PER CORP HD Supply - IR_CORP_HDSUP_O_810_4060,568,20
5377-13437316,User3,Customer12,Sev 4,B2B Services Integration Plus (Managed Services),JUN/NM1(4)C1(1),,S - PER - New Map,Waiting - Client,2017-06-19-13.42.43,2017-05-31-13.42.29,2017-06-19-13.42.43,2017-06-01-10.05.16,,2017-05-31-00.00.00,5377-13434174,,CTE Valiation/Testing,,PER CORP HD Supply - IR_CORP_HDSUP_I_850_4060,769,20
5377-13438006,User13,Customer50,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-17.00.32,2017-05-31-18.14.55,2017-06-19-17.00.32,2017-06-01-07.46.06,,2017-06-01-00.00.00,,,Production Validation,JUN/EL ,FW: PER:  CH Guenther / Imperial Sugar - OB 850,77,20
5377-13439753,User12,Customer13,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-06.09.28,2017-06-01-10.03.21,2017-06-19-06.09.28,2017-06-05-16.20.09,,2017-06-09-00.00.00,,5377-13458164,Technical Review,,CEVA PER GHO-2017-03593 EDI - US Domestic - Kardiel EDI invoicing to Kuebix,362,19
5377-13439753,User12,Customer13,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-06.09.28,2017-06-01-10.03.21,2017-06-19-06.09.28,2017-06-05-16.20.09,,2017-06-09-00.00.00,,5377-13458298,Technical Review,,CEVA PER GHO-2017-03593 EDI - US Domestic - Kardiel EDI invoicing to Kuebix,362,19
5377-13439753,User12,Customer13,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-06.09.28,2017-06-01-10.03.21,2017-06-19-06.09.28,2017-06-05-16.20.09,,2017-06-09-00.00.00,,5377-13472007,Technical Review,,CEVA PER GHO-2017-03593 EDI - US Domestic - Kardiel EDI invoicing to Kuebix,362,19
5377-13439753,User12,Customer13,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-06.09.28,2017-06-01-10.03.21,2017-06-19-06.09.28,2017-06-05-16.20.09,,2017-06-09-00.00.00,,5377-13472031,Technical Review,,CEVA PER GHO-2017-03593 EDI - US Domestic - Kardiel EDI invoicing to Kuebix,362,19
5377-13439753,User12,Customer13,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-06.09.28,2017-06-01-10.03.21,2017-06-19-06.09.28,2017-06-05-16.20.09,,2017-06-09-00.00.00,,5377-13472042,Technical Review,,CEVA PER GHO-2017-03593 EDI - US Domestic - Kardiel EDI invoicing to Kuebix,362,19
5377-13439775,User13,Customer48,Sev 4,B2B Services Integration Plus (Managed Services),JUN/NC1(1),,S - PER - New Map,Release - Monthly,2017-06-19-08.46.52,2017-06-01-10.09.58,2017-06-19-08.46.52,2017-06-02-07.42.56,,2017-06-19-00.00.00,5377-13426819,,Production Validation,,PER for Systems 2000 -( Child Ticket ) - LINDT-US_SYSTEM2000_I_850_5010,337,19
5377-13439788,User13,Customer48,Sev 4,B2B Services Integration Plus (Managed Services),JUN/NR1(1.5)C1(1.5)A1(.5)M1(.5),,S - PER - New Map,Release - Monthly,2017-06-19-08.45.30,2017-06-01-10.13.21,2017-06-19-08.45.30,2017-06-07-14.39.01,,2017-06-19-00.00.00,5377-13426819,,Production Validation,,PER for Systems 2000 - (Child Ticket ) - LINDT-US_SYSTEM2000_O_810_5010,480,19
5377-13440116,User16,Customer49,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Needs Reply,2017-06-19-16.08.26,2017-06-01-12.04.11,2017-06-19-16.08.26,2017-06-01-12.08.38,,2017-06-06-00.00.00,,,CTE Technical Implementation,,PER-Kraft_SUPPLIERTEMPLATE_STPEDINEW-Fort Dearborn.docx,71,19
5377-13440206,User16,Customer49,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Release - Monthly,2017-06-19-09.21.44,2017-06-01-12.35.55,2017-06-19-09.21.44,2017-06-01-12.39.14,,2017-06-06-00.00.00,,,CTE Valiation/Testing,,PER-Kraft_SUPPLIERTEMPLATE_STPEDINEW-Mizkan,175,19
5377-13440218,User16,Customer49,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Partner,2017-06-19-13.31.30,2017-06-01-12.38.43,2017-06-19-13.31.30,2017-06-01-12.42.39,,2017-06-07-00.00.00,,,CTE Valiation/Testing,,PER-Kraft_SUPPLIERTEMPLATE_STPEDINEW-Bay Valley Foods.docx,309,19
5377-13441558,User12,Customer13,Sev 3,B2B Services Integration Plus (Managed Services),JUN/R1(1)NC2(4),,S - PER - New Map,Needs Reply,2017-06-19-16.32.55,2017-06-02-02.49.20,2017-06-19-16.32.55,2017-06-02-07.28.42,,,5377-13430797,,CTE Technical Implementation,,CEVA PER LNA-2017-02304 Sportmaster BRC Map: CEVA_BRC_SPORTMASTER_RECEIPTMESSAGE_O_XML,775,18
5377-13442199,User7,Customer24,Sev 4,B2B Services Integration Plus (Managed Services),JUN/M1(.05)R1(.25),,S - PER - New Map,Assigned,2017-06-19-05.42.06,2017-06-02-10.05.00,2017-06-19-05.42.06,2017-06-14-10.45.53,,2017-06-02-00.00.00,5377-13387616,,CTE Technical Implementation,,PER - Map Change - Tremec_DocExtract,82,18
5377-13442369,User31,Customer83,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Closed,2017-06-19-12.11.56,2017-06-02-11.16.00,2017-06-19-12.11.56,2017-06-02-11.34.14,2017-06-19-12.11.56,2017-06-05-00.00.00,,,Technical Review,,PER New TP Setup Request Essential Decor ? Supplier Portal,51,17
5377-13442882,User3,Customer43,Sev 4,B2B Services Integration Plus (Managed Services),JUN/A3(1.1)NM1(1),,S - PER - New Map,Waiting - Partner,2017-06-19-15.32.08,2017-06-02-14.42.44,2017-06-19-15.32.08,2017-06-05-10.43.32,,2017-06-07-00.00.00,,,Technical Review,,"PER - P TERRY ENTERPRISES - New OB 810 Map - BBU_BUSS_PTERR_O_810_4010_1


",540,18
5377-13443242,User50,Customer84,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Needs Reply,2017-06-19-16.47.56,2017-06-02-17.54.34,2017-06-19-16.47.56,2017-06-05-07.45.52,,2017-06-15-00.00.00,,,Triage,,New Trading Partner - National Distributing (?) 6/15 - Req clarification.  850 data is currently processing from National Distributing to Jim Beam.  6/19 - sent follow up. ,36,18
5377-13444839,User5,Customer85,Sev 4,B2B Services Integration Plus (Managed Services),,JUN/R1(.5)C2(1.5),S - PER - Map Change,Needs Reply,2017-06-19-10.35.07,2017-06-05-04.19.10,2017-06-19-10.35.07,2017-06-12-09.09.25,,,5377-13438934,,,,PER MAP CHANGE ESTIMATE : Fw: TR: Communication EDI avec 2 nouveaux clients du Groupe L'Or\82al :: BOXAL_LOREAL_ORDERS_D96A_I,237,15
5377-13444862,User2,Customer37,Sev 4,B2B Services Integration Plus (Managed Services),JUN/NC1(1),,S - PER - New Map,Waiting - Client,2017-06-19-05.46.01,2017-06-05-04.46.28,2017-06-19-05.46.01,2017-06-05-04.49.32,,,5377-13428241,,CTE Technical Implementation,,Develop new \FFPurchase Order map for COMTECH -\FFMCRN_COMTECH_I_850_4010,655,15
5377-13446158,User54,Customer77,Sev 4,B2B Services Integration Plus (Managed Services),JUN/R1(1)N,,S - PER - New Map,Waiting - Client,2017-06-19-15.28.58,2017-06-05-12.35.10,2017-06-19-15.28.58,2017-06-06-07.46.20,,2017-06-05-00.00.00,5377-13424234,,CTE Technical Implementation,,Amazon - IB 754 New Map:  MLOCK_AMAZON_I_754_5010,512,15
5377-13446476,User12,Customer13,Sev 2,B2B Services Integration Plus (Managed Services),JUN/NC4(4.5),,S - PER - New Map,Release - Monthly,2017-06-19-06.34.42,2017-06-05-14.27.12,2017-06-19-06.34.42,2017-06-13-16.38.19,,2017-06-05-00.00.00,5377-13430803,,CTE Technical Implementation,,CEVA PER LNA-2017-02305 Sportmaster BKD-VCB Map :  SM_BKD_VCB,753,15
5377-13446703,User12,Customer13,Sev 2,B2B Services Integration Plus (Managed Services),JUN/R1(2)NC2(3)M3(2.5),,S - PER - New Map,Waiting - Client,2017-06-19-12.21.49,2017-06-05-15.54.45,2017-06-19-12.21.49,2017-06-06-07.25.28,,2017-06-02-00.00.00,5377-13430803,,Technical Review,,CEVA PER LNA-2017-02305 Sportmaster BKD Map:CEVA_SPORTMASTER_BKD_O_XML_XML,1117,15
5377-13446732,User12,Customer13,Sev 2,B2B Services Integration Plus (Managed Services),JUN/NR1(2)C1(1)A1(1)M3(2.5),,S - PER - New Map,Waiting - Client,2017-06-19-12.27.10,2017-06-05-16.06.25,2017-06-19-12.27.10,2017-06-07-03.09.11,,2017-06-02-00.00.00,5377-13430803,,Technical Review,,CEVA PER LNA-2017-02305 Sportmaster VCB Map : CEVA_SPORTMASTER_VCB_O_XML_XML,1203,15
5377-13446751,User4,Customer57,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-09.57.40,2017-06-05-16.11.48,2017-06-19-09.57.40,2017-06-05-16.14.16,2017-06-19-09.38.27,2017-06-08-00.00.00,,5377-13450152,Production Complete,JUN/E RC/JUN-S,GHX BU2 GS Value Change Needed,272,14
5377-13446751,User4,Customer57,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-09.57.40,2017-06-05-16.11.48,2017-06-19-09.57.40,2017-06-05-16.14.16,2017-06-19-09.38.27,2017-06-08-00.00.00,,5377-13454285,Production Complete,JUN/E RC/JUN-S,GHX BU2 GS Value Change Needed,272,14
5377-13446831,User6,Customer57,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Closed,2017-06-19-09.32.18,2017-06-05-16.42.36,2017-06-19-09.32.18,2017-06-05-16.44.22,2017-06-19-09.32.18,,,,,,BU2 New GHX Set Up x1,304,14
5377-13447638,User32,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),JUN/NC2(6),,S - PER - New Map,Needs Reply,2017-06-19-13.45.22,2017-06-06-04.59.55,2017-06-19-13.45.22,2017-06-06-14.16.46,,2017-06-06-00.00.00,5377-13430770,,CTE Technical Implementation,,CEVA PER Child Ticket GHO-2017-03586 EDI - Ocean - Heinz - Ops EMAIL Notification for EDI 300- New Map. Map Name:CEVA_Heinz_I_300_4010_EMAIL,1096,14
5377-13447641,User62,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),MAY/NC2(3.5),,S - PER - Other,Waiting - RTC,2017-06-19-08.41.26,2017-06-06-05.01.05,2017-06-19-08.41.26,,,,5377-13420903,,,,RR : SFTP set up with  PGP ,115,14
5377-13447685,User4,Customer13,Sev 4,B2B Services Integration Plus (Managed Services),JUN/NR1(1)C3(6.5),,S - PER - New Map,Waiting - Client,2017-06-19-23.43.37,2017-06-06-05.27.27,2017-06-19-23.43.37,2017-06-08-07.46.59,,,5377-13430817,,,,"CEVA PER LNA-2017-02306 Sportmaster Voyage Map
MAP_NAME: CEVA_SAT_SPORTMASTER_I_ASN_XML_XML",1275,14
5377-13448809,User50,Customer3,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Needs Reply,2017-06-19-16.16.01,2017-06-06-13.00.59,2017-06-19-16.16.01,2017-06-06-13.07.45,,2017-06-06-00.00.00,,,Triage,,"PER - Smart and Final + New AS2 Connection 6/7 - AS2 questionnaire & certs sent to TP.  Need TP's AS2 certs to proceed. 6/12, 6/14 & 6/16 - sent f/ups. 
IP:  Not provided,  Egress:  Not provided,  Class C:  Not provided ",31,14
5377-13450467,User63,Customer82,Sev 3,B2B Services Integration Plus (Managed Services),JUN/NC1(1),,S - PER - New Map,Assigned,2017-06-19-23.29.27,2017-06-07-05.22.06,2017-06-19-23.29.27,2017-06-07-05.44.58,,,5377-13421735,,,,PER - Child create JLG/Oshkosh 856 map / MILSC_JLG_O_856_4010,586,13
5377-13451248,User12,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),JUN/NC1(1.5),,S - PER - New Map,Needs Reply,2017-06-19-13.45.23,2017-06-07-07.28.31,2017-06-19-13.45.23,2017-06-08-15.54.32,,,5377-13436378,,Triage,,CEVA PER GHO-2017-03860 EDI - Air - Avaya TMS EDI OFS 204 EMAIL Notification : CEVA_AVAYA_I_204_FF_HR,712,13
5377-13452553,User44,Customer74,Sev 4,B2B Services Integration Plus (Managed Services),JUN/A2(1.25),,S - PER - Map Change,Assigned,2017-06-19-16.11.33,2017-06-07-12.03.54,2017-06-19-16.11.33,,,2017-05-15-00.00.00,5377-13385398,,Technical Review,,Lenovo Child Ticket Arrow GB & BE - ORDERS XML map,82,13
5377-13452806,User52,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-08.26.45,2017-06-07-13.40.14,2017-06-19-08.26.45,2017-06-07-13.43.42,2017-06-19-08.26.45,2017-06-16-00.00.00,,5377-13454670,Production Validation,JUN/EL,Fw: PER - Tesla Supplier - Borgers Ohio Inc,456,12
5377-13452806,User52,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-08.26.45,2017-06-07-13.40.14,2017-06-19-08.26.45,2017-06-07-13.43.42,2017-06-19-08.26.45,2017-06-16-00.00.00,,5377-13473441,Production Validation,JUN/EL,Fw: PER - Tesla Supplier - Borgers Ohio Inc,456,12
5377-13452988,User64,Customer80,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Assigned,2017-06-19-18.55.10,2017-06-07-14.49.45,2017-06-19-18.55.10,2017-06-13-01.25.51,2017-06-13-01.25.51,2017-03-21-00.00.00,5377-13244393,,Technical Review,,PER NOVITEX - ROYAL BANK CAN - POSITVE PAY FF PASSTHR,242,6
5377-13453176,User30,Customer79,Sev 4,B2B Services Integration Plus (Managed Services),JUN/NC1(2),,S - PER - New Map,Waiting - Client,2017-06-19-17.15.53,2017-06-07-16.05.26,2017-06-19-17.15.53,2017-06-09-05.45.30,,2017-06-07-00.00.00,5377-13416575,,CTE Technical Implementation,,PER for Hajoca - New 850 Map for customer Hajoca- AOS_ASI_HAJOCA_I_850_4010,682,13
5377-13454127,User52,Customer9,Sev 3,B2B Services Integration Plus (Managed Services),JUN/NC3(5)F1(.1),JUN/Q1,S - PER - New Map,Needs Reply,2017-06-19-16.19.59,2017-06-08-02.00.43,2017-06-19-16.19.59,2017-06-08-10.55.57,,2017-06-08-00.00.00,5377-13449171,,CTE Valiation/Testing,,Fw: EDI 863 for Test result - New map for Tesla Partner-TESLA_GENE_I_863_4010,887,12
5377-13454254,User18,Customer20,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-11.09.10,2017-06-08-03.05.11,2017-06-19-11.09.10,2017-06-12-03.54.05,,2017-06-15-00.00.00,,5377-13455359,Production Validation,JUN/ELV, SGCIO: Request to rasie PER: PSA-GEFCO EDI flow - CTASK0061428,385,12
5377-13455807,User32,Customer20,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-13.36.32,2017-06-08-14.34.00,2017-06-19-13.36.32,2017-06-09-11.41.00,,2017-06-09-00.00.00,,5377-13460246,CTE Technical Implementation,, SGCIO: Request to Raise PER - BMW Global DELJIT+envelop and Outboundconfig,300,12
5377-13456022,User43,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-14.33.17,2017-06-08-16.05.51,2017-06-19-14.33.17,2017-06-09-10.17.12,,,,5377-13461355,CTE Valiation/Testing,,Daimler PER for adding new document type,449,12
5377-13456052,User35,Customer53,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Closed,2017-06-19-10.56.11,2017-06-08-16.21.59,2017-06-19-10.56.11,2017-06-09-09.00.06,2017-06-19-10.56.11,2017-06-12-00.00.00,,5377-13477841,Production Complete,JUN/EL RC/JUN-S,PER - FW: POJA setup,101,11
5377-13456909,User4,Customer81,Sev 4,B2B Services Integration Plus (Managed Services),JUN/R1(1)C1(2),,S - PER - New Map,Assigned,2017-06-19-21.07.34,2017-06-09-03.29.33,2017-06-19-21.07.34,2017-06-09-07.35.30,,,5377-13305106,,,,PER Orders Inbound for TP XXXLutz-KRONO_XXXLutz_I_ORDERS_D96A,419,11
5377-13457774,User20,Customer78,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.22.26,2017-06-09-09.31.18,2017-06-19-05.22.26,2017-06-15-09.57.33,,,,5377-13469312,,,EDI Migration to EDICom,117,11
5377-13458215,User34,Customer69,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-11.27.38,2017-06-09-12.17.00,2017-06-19-11.27.38,2017-06-09-12.37.06,,2017-06-15-00.00.00,,,CTE Valiation/Testing,,PER New TP setup - Mercury Gate / Prime Distribution  204 990 214 and 210 ,85,11
5377-13458250,User16,Customer38,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-08.09.29,2017-06-09-12.32.02,2017-06-19-08.09.29,2017-06-09-15.23.36,,2017-06-13-00.00.00,,,CTE Valiation/Testing,,PER Sigma Grainger invoice 810,71,11
5377-13458255,User16,Customer38,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-07.57.24,2017-06-09-12.32.55,2017-06-19-07.57.24,2017-06-09-15.19.51,,2017-06-13-00.00.00,,,CTE Technical Implementation,,PER Sigma Grainger PO 850,213,11
5377-13458259,User16,Customer38,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-08.14.43,2017-06-09-12.33.55,2017-06-19-08.14.43,2017-06-09-15.14.26,,2017-06-13-00.00.00,,,CTE Valiation/Testing,,PER Sigma Grainger POA 855,61,11
5377-13458262,User16,Customer38,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Waiting - Client,2017-06-19-08.04.33,2017-06-09-12.35.59,2017-06-19-08.04.33,2017-06-09-15.13.30,,2017-06-13-00.00.00,,,CTE Valiation/Testing,,PER Sigma Grainger ASN 856,85,11
5377-13458518,User56,Customer73,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Work In Progress,2017-06-19-13.26.00,2017-06-09-14.42.59,2017-06-19-13.26.00,2017-06-09-15.09.25,,,,5377-13458154,,,PER SAP E03(LAG Miami) GIODE - BoA-US (XML) - AS2 (BoAs new AS2 platform B2Bi),117,11
5377-13458579,User21,Customer44,Sev 4,B2B Services (Hosted Translations),JUN/W1(2)M1(1),,S - PER - New Map,Waiting - Client,2017-06-19-16.13.29,2017-06-09-15.13.32,2017-06-19-16.13.29,2017-06-09-15.26.52,,,5377-13455901,,,,PER - New Trading partner for Atalanta (Demoulas Market)/ Create new map Inbound 875,232,11
5377-13459069,User43,Customer72,Sev 3,B2B Services Integration Plus (Managed Services),JUN/R3(2.75),,S - Map Research,Waiting - Client,2017-06-19-15.48.13,2017-06-09-23.06.05,2017-06-19-15.48.13,2017-06-12-07.12.12,,,5377-13205397,,,,Leggett_PER_KLAUS0529_856_4010.docx: :LEGG_KLAUS_O_856_4010,224,11
5377-13460431,User32,Customer13,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Waiting - Client,2017-06-19-20.52.50,2017-06-12-02.51.26,2017-06-19-20.52.50,2017-06-12-11.38.39,,,,,Triage,,CEVA PER LNA-2017-02515 GMIO : (DAMCO) IB_856 full field map,36,8
5377-13460587,User37,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-20.51.39,2017-06-12-03.38.23,2017-06-19-20.51.39,2017-06-12-07.34.26,,,,,Triage,,CEVA PER LNA-2017-02503 HPE- FTPS setup for BBLH ,49,8
5377-13461295,User20,Customer63,Sev 3,B2B Services Integration Plus (Managed Services),JUN/R1(1.5)C1(1.5),,S - Map Change,Needs Reply,2017-06-19-10.46.13,2017-06-12-06.52.56,2017-06-19-10.46.13,2017-06-13-05.56.52,,,5377-13440809,,,,PER Automated Media OEM - PGW_GM_NACSS_I_DELFOR_D97A.map,539,8
5377-13461714,User52,Customer31,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-08.46.55,2017-06-12-09.25.23,2017-06-19-08.46.55,2017-06-12-09.37.16,,2017-06-13-00.00.00,,5377-13464042,Production Technical Implementation,,TP Setup for TMMGT 31659 ADVICS NA,139,8
5377-13461994,User37,Customer40,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-03.57.27,2017-06-12-10.57.24,2017-06-19-03.57.27,2017-06-12-11.00.46,,2016-06-16-00.00.00,,5377-13473475,CTE Technical Implementation,,EMEA - PER - Lindt FR - Change to ORDERS Map x 2,156,8
5377-13462103,User21,Customer44,Sev 4,B2B Services (Hosted Translations),JUN/W1(2),,S - PER - New Map,Waiting - Client,2017-06-19-16.12.49,2017-06-12-11.42.09,2017-06-19-16.12.49,2017-06-12-15.13.27,,,5377-13455901,,,,PER - New Trading partner for Atalanta (Demoulas Market)/Create new outbound 880 map,145,8
